"filename", "language", "Markdown", "PlantUML", "XML", "C#", "MS SQL", "YAML", "JSON", "PostCSS", "JavaScript", "ASP.NET Razor", "comment", "blank", "total"
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\BlazorUI\wwwroot\app.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 228, 0, 0, 14, 38, 280
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\BlazorUI\wwwroot\js\monaco-interop.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 2, 12, 66
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\Notes.md", "Markdown", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 94
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\README.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\Todo.md", "Markdown", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\diagrams\BlazorUI\Program.puml", "PlantUML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\diagrams\include.puml", "PlantUML", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 12, 1, 18
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\diagrams\sandboxTests\MSTestSettings.puml", "PlantUML", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\diagrams\sandboxTests\Tests\TestAssemblyInit.puml", "PlantUML", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\diagrams\sandboxTests\Tests\Unit\FacadeTests.puml", "PlantUML", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 42
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\diagrams\sandboxTests\Tests\Unit\ScriptTests.puml", "PlantUML", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\diagrams\sandbox\Program.puml", "PlantUML", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\diagrams\sandbox\src\InternalClassesForTesting\HelperServices.puml", "PlantUML", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\diagrams\sandbox\src\InternalClassesForTesting\LabOrder.puml", "PlantUML", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\diagrams\sandbox\src\InternalClassesForTesting\Patient.puml", "PlantUML", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
